Company,Ticker,Year,BESG ESG Score,BESG Environmental Pillar Score,BESG Social Pillar Score,BESG Governance Pillar Score,ESG Disclosure Score,Environmental Disclosure Score,Social Disclosure Score,Governance Disclosure Score,Nitrogen Oxide Emissions,Risks of Climate Change Discussed,GHG Scope 1,GHG Scope 2 Location-Based,Policy Against Child Labor,Pct Women in Workforce,Fatalities - Employees,Fatalities - Total,Total Recordable Incident Rate - Employees,Number of Employees - CSR,Years Auditor Employed,Size of Audit Committee,Number of Independent Directors on Audit Committee,Audit Committee Meetings,Audit Committee Meeting Attendance Percentage,Board Size,Number of Executives / Company Managers,Number of Non Executive Directors on Board,Number of Board Meetings for the Year,Board Meeting Attendance Pct,Size of Compensation Committee,Num of Independent Directors on Compensation Cmte,Number of Compensation Committee Meetings,Compensation Committee Meeting Attendance %,Number of Female Executives,Number of Women on Board,Age of the Youngest Director,Age of the Oldest Director,Number of Independent Directors,Size of Nomination Committee,Num of Independent Directors on Nomination Cmte,Number of Nomination Committee Meetings,Nomination Committee Meeting Attendance Percentage,Board Duration (Years),Total Energy Consumption,Total Water Withdrawal,Human Rights Policy,Equal Opportunity Policy,Business Ethics Policy,Anti-Bribery Ethics Policy,Health and Safety Policy,Training Policy,Social Supply Chain Management,Emissions Reduction Initiatives,Climate Change Policy,Climate Change Opportunities Discussed,Energy Efficiency Policy,Waste Reduction Policy,Environmental Supply Chain Management,Water Policy,Biodiversity Policy,Fair Remuneration Policy,Verification Type,Employee CSR Training,Market Cap Category,Country
Ampol Ltd,ALD,2018,3.67,2.84,2.43,6.86,52.651,48.716,32.92,76.219,0.941,True,739.832,210.821,False,40.7,0.0,0.9289256198347108,0.5663528455284552,382.0677083333333,21.621951219512194,3.0,3.0,4.0,100.0,8.0,8.0,7.0,15.0,100.0,3.0,3.0,3.0,100.0,3.0,3.0,50.06,72.24714285714286,7.0,7.0,7.0,2.0,100.0,3.0,341.7038493150685,423.77154455445543,True,True,True,True,True,True,True,True,True,False,True,True,True,False,False,False,False,False,Mid Cap,Australia
Ampol Ltd,ALD,2019,4.74,5.03,2.43,7.05,61.624,63.636,32.376,88.742,0.888,True,673.668,230.539,True,42.6,0.0,0.9289256198347108,0.5663528455284552,382.0677083333333,21.621951219512194,4.0,4.0,4.0,100.0,7.0,6.0,6.0,28.0,96.93,3.0,3.0,4.0,100.0,3.0,3.0,50.06,72.24714285714286,6.0,6.0,6.0,3.0,100.0,3.0,341.7038493150685,423.77154455445543,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,Mid Cap,Australia
Ampol Ltd,ALD,2020,4.52,4.7,2.47,6.69,57.63,63.636,32.376,76.791,0.574,True,576.611,222.097,True,42.8,0.0,0.9289256198347108,0.5663528455284552,382.0677083333333,21.621951219512194,4.0,4.0,5.0,100.0,8.0,6.0,7.0,38.0,98.48,4.0,4.0,3.0,100.0,1.0,3.0,50.06,72.24714285714286,7.0,5.0,5.0,1.0,100.0,1.8452970297029703,341.7038493150685,423.77154455445543,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,Mid Cap,Australia
Ampol Ltd,ALD,2021,4.72,5.17,2.45,6.68,56.876,63.636,30.804,76.099,0.979,True,547.064,233.304,True,41.9,0.0,0.9289256198347108,0.5663528455284552,382.0677083333333,21.621951219512194,4.0,4.0,7.0,100.0,8.0,7.0,7.0,17.0,99.21,4.0,4.0,5.0,100.0,2.0,2.0,50.06,72.24714285714286,7.0,7.0,7.0,1.0,100.0,1.8452970297029703,341.7038493150685,423.77154455445543,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,Mid Cap,Australia
Ampol Ltd,ALD,2022,5.25,6.17,2.67,6.79,56.403,62.217,30.804,76.099,0.98,True,727.358,243.247,True,42.3,0.0,0.9289256198347108,0.5663528455284552,382.0677083333333,21.621951219512194,4.0,4.0,5.0,100.0,9.0,8.0,8.0,8.0,98.62,4.0,4.0,4.0,93.75,3.0,3.0,50.06,72.24714285714286,8.0,7.0,7.0,2.0,85.71,1.8452970297029703,341.7038493150685,423.77154455445543,True,True,True,True,True,True,True,True,True,False,True,True,True,True,False,False,True,True,Mid Cap,Australia
Ampol Ltd,ALD,2023,5.32,6.29,2.73,6.74,57.55,63.063,33.404,76.099,0.918,True,683.969,221.43,True,42.4,0.0,0.9289256198347108,0.5663528455284552,382.0677083333333,21.621951219512194,4.0,4.0,4.0,100.0,9.0,7.0,8.0,8.0,100.0,4.0,4.0,4.0,100.0,3.0,3.0,50.06,72.24714285714286,8.0,8.0,8.0,2.0,100.0,1.8452970297029703,341.7038493150685,423.77154455445543,True,True,True,True,True,True,True,True,True,False,True,True,True,True,True,False,True,True,Mid Cap,Australia
Arabian Drilling Co,ARABIAND,2021,2.64,1.44,5.53,1.97,38.055,33.102,34.462,46.568,22.403380067567568,True,261.511,2.26,True,26.508317841079464,0.0,0.0,0.22,382.0677083333333,21.621951219512194,4.0,3.686777920410783,5.0,94.09853801169591,7.0,2.0,5.0,4.0,100.0,0.0,3.437745740498034,5.160390516039052,93.96819696969696,0.0,0.0,50.06,72.24714285714286,0.0,0.0,3.69811320754717,4.5834522111269616,93.79323809523811,1.8452970297029703,341.7038493150685,423.77154455445543,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Mid Cap,Canada
Arabian Drilling Co,ARABIAND,2022,3.49,3.59,3.93,2.95,45.74,44.518,31.772,60.867,22.403380067567568,True,302.395,3.013,True,26.508317841079464,1.0,0.9289256198347108,0.33,382.0677083333333,21.621951219512194,3.0,3.686777920410783,6.0,94.7,7.0,1.0,6.0,4.0,100.0,3.0,3.437745740498034,3.0,88.88,0.0,1.0,50.06,72.24714285714286,1.0,3.0,3.69811320754717,3.0,88.88,1.8452970297029703,341.7038493150685,423.77154455445543,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Mid Cap,Canada
Arabian Drilling Co,ARABIAND,2023,3.76,3.61,4.9,2.92,46.746,42.797,29.655,67.7,22.403380067567568,True,367.739,4.132,True,26.508317841079464,0.0,0.9289256198347108,0.94,382.0677083333333,21.621951219512194,3.0,3.686777920410783,6.0,100.0,9.0,1.0,6.0,5.0,97.778,3.0,3.437745740498034,7.0,95.23,0.0,1.0,50.06,72.24714285714286,3.0,3.0,3.69811320754717,7.0,95.23,1.8452970297029703,341.7038493150685,423.77154455445543,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,Mid Cap,Canada
Athabasca Oil Corp,ATH,2015,2.33,1.4,1.76,4.98,42.169,19.42,37.787,69.205,0.385,False,223.528,22.27,False,31.0,0.0,0.0,0.0,162.0,9.0,3.0,3.0,4.0,94.09853801169591,8.0,7.0,6.0,8.0,93.34091862068965,3.0,3.0,5.0,93.96819696969696,2.0,0.0,50.06,72.24714285714286,6.0,3.0,3.0,5.0,93.79323809523811,1.0,341.7038493150685,423.77154455445543,False,True,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,Small Cap,Canada
